Título	Descrição	RESPONSÁVEL	STATUS	DATA INCIAL	PRAZO FINAL	COMENTÁRIOS
Atender 6 novos CNPJs em serviços de NRs que não foram atendidos em 2026	Fechar uma turma aberta de NR 12 conceitos gerais EAD para prospectar dois novos  CNPJ	Tainara	Concluída	01/02/2026	15/03/2026	Disparo feito para todas as empresas da região pelo colega Marcelo através do e-mail de NRs para 2500 contatos, em dois momentos do trimestre. A turma inicia em 15/04. Temos 02 matriculas. 
Atender 6 novos CNPJs em serviços de NRs que não foram atendidos em 2026	Articular com o Simplás o apoio da divulgação das turmas abertas de NR 12 máquinas injetoras para prospecção de 2 novos CNPJs por turma aberta	Tainara	Concluída	15/01/2026	21/03/2026	Enviado material para apoio para Fabiana Simplas- turma não executada por falta de inscritos. Nova turma próximo trimestre ou semestre.
Atender 2 novos CNPJs em Atividades Físicas que não foram atendidos em 2026	Disparar e-mail com Campanha de Ginastica laboral para empresas que cadastraram no GPTW (igual SO)	Tainara	Concluída	01/03/2026	15/03/2026	Avançamos em negociações de ASSTI para empresas GPTW  ( Randon CSC89.086.144/0011-98) e (Randon Consórcios - 91.108.027/0001-58 ). Possobilidade de atendimento de Programas de Ginástica em ambos pelo perfil dos CNPJs
Atender 2 novos CNPJs em Atividades Físicas que não foram atendidos em 2026	Disparar e-mail com Campanha de Ginastica laboral para empresas que cadastraram no GPTW (igual SO)	Juliany	Concluída	01/03/2026	15/03/2026	Enviados dia 20/01/2026 - NAUTOS | SULCORTE | J MARCON IND E COM DE MÓVEIS EIRELI | SINALSUL INDUSTRIA DE AUTO PECAS LTDA | VIDROFORTE | SUSIN FRANCESCUTTI 
Atender 2 novos CNPJs em Atividades Físicas que não foram atendidos em 2026	Dilvulgar a nova modalidade e o pilates com aparelho do Espaço Saúde no entorno da Unidade (Condominio, Igreja, restaurantes, comercio local) etc	Jaqueline	Cancelada			
Atender 2 novos CNPJs em Saúde Ocupacional que não foram atendidos em 2026	Ação de divulgação de matrículas na empresa Marcopolo	Luciane	Concluída	07/01/2026	31/03/2026	Visitas realizadas: Imatron (14.01), PCP Prod. Siderg., Unylaser (17.01), Prime Timber(21.01),  Castertech (26.02), Edicopy (27.02) e Master Freios  (13.03, esta foi transferida para o dia 08.04 por parte da empresa). A diretor da Edicopy irá até o SESI no dai 08.04 para conhecer mais sobre os serviços. 
Atender 2 novos CNPJs em Saúde Ocupacional que não foram atendidos em 2026	Contatar 20 empresas acima de 90 vidas para converter em visitas para prospecção de proposta de SST	Tainara	Concluída	10/02/2026	21/03/2026	SÃO MARCOS (07 pequenas): ACRILICOS SAO MARCOS LTDA / CCF INDUSTRIA DE COMPONENTES AUTOMOTIVOS LTDA / GABB INDUSTRIA DE ESCAPAMENTOS LTDA - FADO INDUSTRIA (24/02)/ INDUSTRIA E COMERCIO DE ACESSORIOS SAO MARQUENSE LTDA / IRMAOS MOLON LTDA / MAXICLIMA INDUSTRIA DE CLIMATIZADORES (29/01) E SUPLEMENTOS TERMODINAMICOS LTDA / PILATI MOVEIS LTDA - CAXIAS DO SUL (07 Médias): DOMPEL INDUSTRIA PLASTICA E METALURGICA LTDA / DUROLINE INDUSTRIA E COMERCIO DE MATERIAIS DE FRICCAO LTDA (AGENDA SOMENTE ABRIL) / FABRICA NACIONAL DE AMORTECEDORES LTDA / FUTURE INDUSTRIA METALURGICA LTDA / IRMAOS AMALCABURIO LTDA / METALURGICA WELOZE LTDA ( 18/03)/ MICROINOX FUNDICAO DE PRECISAO E USINAGEM LTDA  - CAXIAS DO SUL  (06)  LAMINA INDUSTRIA PLASTICA LTDA ( 16/01) / MICROINOX ( 02/04) MAZZA MÁQUINAS( 24/02) GRUPO FORMOLO ( 27/02) VINICOLA JOLIMONT ( 28/02) SULAR ( 25/03)   O QUE NÃO FOI ATINGIDO, COLOCAR PARA O PRÓXIMO TRI
Atender 2 novos CNPJs em Saúde Ocupacional que não foram atendidos em 2026	Contatar 20 empresas acima de 90 vidas para converter em visitas para prospecção de proposta de SST	Juliany	Cancelada			SÃO MARCOS (07 pequenas): ACRILICOS SAO MARCOS LTDA / CCF INDUSTRIA DE COMPONENTES AUTOMOTIVOS LTDA / GABB INDUSTRIA DE ESCAPAMENTOS LTDA / INDUSTRIA E COMERCIO DE ACESSORIOS SAO MARQUENSE LTDA / IRMAOS MOLON LTDA / MAXICLIMA INDUSTRIA DE CLIMATIZADORES E SUPLEMENTOS TERMODINAMICOS LTDA / PILATI MOVEIS LTDA - CAXIAS DO SUL (07 Médias): DOMPEL INDUSTRIA PLASTICA E METALURGICA LTDA / DUROLINE INDUSTRIA E COMERCIO DE MATERIAIS DE FRICCAO LTDA / FABRICA NACIONAL DE AMORTECEDORES LTDA / FUTURE INDUSTRIA METALURGICA LTDA / IRMAOS AMALCABURIO LTDA / METALURGICA WELOZE LTDA / MICROINOX FUNDICAO DE PRECISAO E USINAGEM LTDA  - CAXIAS DO SUL (06 Pequenas) POWERMIG AUTOMACAO E SOLDAGEM LTDA / TUTTO HIDRAULICOS LTDA / UNIFERRO INDUSTRIA METALURGICA LTDA / BINOTTO INDUSTRIA DE COMPONENTES HIDRAULICOS LTDA / LAMINA INDUSTRIA PLASTICA LTDA / CINQUETTI PLASTICOS LTDA - Enviar proposta para Alternativa, BP Componentes e Pisani
Atender 2 novos CNPJs em Saúde Ocupacional que não foram atendidos em 2026	Visitar 6 empresas do GPTW para oferecer o selo SESI	Juliany	Cancelada			ALGCOM / SERRANA SISTEMAS DE ENERGIA / MACROSUL 
Atender 2 novos CNPJs em Saúde Ocupacional que não foram atendidos em 2026	Visitar 6 empresas do GPTW para oferecer o selo SESI	Tainara	Concluída	01/03/2026	31/03/2026	MARCOPOLO ( solicitado agenda sobre assunto, ainda sem retorno) / MASTER AUTOMOTIVA / DETELLA / RANDON CONSÓRCIO (12/03) / MÁQUINAS SANMARTIN / JOST / MADAL / CASTERTECH / CSC RANDON (12/03) OGNIBENE ( 25/02)  O QUE NÃO FOI ATINGIDO, COLOCAR PARA O PRÓXIMO TRI
